sid,tid,tix,bid,bix,study_task,current_task,prime_identity,prime_part_of_speech,prime_valence,target_identity,target_part_of_speech,target_valence,target_onset,response,response_time,error,response_window_start,response_window_end,n_target
17,731,15,23,1,valence_classification,color_matching,MQQM,noun,positive,launisch,adjective,negative,0.4524,nonmatch,0.8412,0,0.4718,0.6075,66.0491933901881
17,732,16,23,1,valence_classification,color_matching,MQQM,noun,positive,schlecht,adjective,negative,0.4503,match,0.8472,0,0.4718,0.6075,66.0491933901881
17,733,17,23,1,valence_classification,color_matching,MQQM,noun,positive,schleim,noun,negative,0.4503,nonmatch,60.755,1,0.4718,0.6075,66.0491933901881
17,734,18,23,1,valence_classification,color_matching,WJJW,noun,negative,launisch,adjective,negative,0.4503,nonmatch,0.8161,0,0.4718,0.6075,66.0491933901881
17,735,19,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,entführung,noun,negative,0.4503,nonmatch,0.6632,0,0.4718,0.6075,66.0491933901881
17,736,20,23,1,valence_classification,color_matching,XVVX,adjective,positive,liebe,noun,positive,0.4503,match,0.6185,0,0.4718,0.6075,66.0491933901881
17,737,21,23,1,valence_classification,color_matching,MQQM,noun,positive,gierig,adjective,negative,0.4504,nonmatch,0.5798,0,0.4718,0.6075,66.0491933901881
17,738,22,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,einfall,noun,positive,0.4503,match,0.8346,0,0.4718,0.6075,66.0491933901881
17,739,23,23,1,valence_classification,color_matching,MQQM,noun,positive,spaß,noun,positive,0.4503,match,0.5388,0,0.4718,0.6075,66.0491933901881
17,740,24,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,gütig,adjective,positive,0.4503,nonmatch,0.6224,0,0.4718,0.6075,66.0491933901881
17,741,25,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,spaß,noun,positive,0.4503,match,1.3094,0,0.4718,0.6075,66.0491933901881
17,742,26,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,schlecht,adjective,negative,0.4503,nonmatch,0.8649,0,0.4718,0.6075,66.0491933901881
17,743,27,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,gift,noun,negative,0.4503,nonmatch,0.6525,0,0.4718,0.6075,66.0491933901881
17,744,28,23,1,valence_classification,color_matching,WJJW,noun,negative,lustig,adjective,positive,0.4503,nonmatch,0.739,0,0.4718,0.6075,66.0491933901881
17,745,29,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,schön,adjective,positive,0.4503,match,0.6223,0,0.4718,0.6075,66.0491933901881
17,746,30,23,1,valence_classification,color_matching,WJJW,noun,negative,leiche,noun,negative,0.4504,match,0.8888,0,0.4718,0.6075,66.0491933901881
17,747,31,23,1,valence_classification,color_matching,WJJW,noun,negative,entführung,noun,negative,0.4504,match,1.8211,0,0.4718,0.6075,66.0491933901881
17,748,32,23,1,valence_classification,color_matching,XVVX,adjective,positive,schlecht,adjective,negative,0.4578,match,0.8496,0,0.4718,0.6075,66.0491933901881
17,749,33,23,1,valence_classification,color_matching,XVVX,adjective,positive,lustig,adjective,positive,0.5091,match,13.9113,0,0.4718,0.6075,66.0491933901881
17,750,34,23,1,valence_classification,color_matching,XVVX,adjective,positive,glück,noun,positive,0.4505,match,0.7497,1,0.45,0.5858,63.00513803425041
17,751,35,23,1,valence_classification,color_matching,WJJW,noun,negative,spaß,noun,positive,0.4503,nonmatch,0.6397,0,0.5101,0.6458,71.40879908221572
17,752,36,23,1,valence_classification,color_matching,XVVX,adjective,positive,launisch,adjective,negative,0.4503,match,0.441,0,0.4943,0.63,69.20617221707346
17,753,37,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,schleim,noun,negative,0.4503,match,0.3789,0,0.4807,0.6165,67.30420002719536
17,754,38,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,gierig,adjective,negative,0.4503,nonmatch,0.7226,0,0.4691,0.6048,65.67459115720939
17,755,39,23,1,valence_classification,color_matching,MQQM,noun,positive,entführung,noun,negative,0.4518,nonmatch,0.7057,0,0.459,0.5948,64.26524366406034
17,756,40,23,1,valence_classification,color_matching,WJJW,noun,negative,liebe,noun,positive,0.4503,nonmatch,0.7341,0,0.4503,0.586,63.039076276926004
17,757,41,23,1,valence_classification,color_matching,MQQM,noun,positive,liebe,noun,positive,0.4504,nonmatch,0.6882,0,0.4426,0.5783,61.959269442085755
17,758,42,23,1,valence_classification,color_matching,WJJW,noun,negative,gierig,adjective,negative,0.4503,nonmatch,0.6909,0,0.4357,0.5714,60.99692850730611
17,759,43,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,ehrlich,adjective,positive,0.4503,nonmatch,0.5324,0,0.4295,0.5652,60.13369025456769
17,760,44,23,1,valence_classification,color_matching,MQQM,noun,positive,ehrlich,adjective,positive,0.4503,nonmatch,0.6999,0,0.4239,0.5596,59.344484321011244
17,761,45,23,1,valence_classification,color_matching,XVVX,adjective,positive,ehrlich,adjective,positive,0.4503,nonmatch,0.485,0,0.4187,0.5544,58.61166393285589
17,762,46,23,1,valence_classification,color_matching,WJJW,noun,negative,ehrlich,adjective,positive,0.4503,match,0.5395,0,0.4138,0.5495,57.92599394659462
17,763,47,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,launisch,adjective,negative,0.4503,match,0.6056,0,0.4091,0.5448,57.277199535152846
17,764,48,23,1,valence_classification,color_matching,XVVX,adjective,positive,schön,adjective,positive,0.4503,match,0.3602,0,0.4047,0.5404,56.654282636752484
17,765,49,23,1,valence_classification,color_matching,XVVX,adjective,positive,entführung,noun,negative,0.4717,match,2.4883,1,0.4004,0.5361,56.049002822758396
17,766,50,23,1,valence_classification,color_matching,XVVX,adjective,positive,eitel,adjective,negative,0.4503,match,1.9364,1,0.4138,0.5495,57.92579771644699
17,767,51,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,lustig,adjective,positive,0.4503,match,0.7217,0,0.4252,0.5609,59.52742364533666
17,768,52,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,eitel,adjective,negative,0.4696,nonmatch,0.5993,1,0.4215,0.5572,59.00403999213926
17,769,53,23,1,valence_classification,color_matching,WJJW,noun,negative,gift,noun,negative,0.4503,match,0.6258,1,0.4325,0.5682,60.552847588244454
17,770,54,23,1,valence_classification,color_matching,XVVX,adjective,positive,einfall,noun,positive,0.4503,match,0.723,0,0.4441,0.5798,62.16748574782502
17,771,55,23,1,valence_classification,color_matching,XVVX,adjective,positive,gierig,adjective,negative,0.4503,nonmatch,0.6124,0,0.4399,0.5756,61.58760854781087
17,772,56,23,1,valence_classification,color_matching,XVVX,adjective,positive,leiche,noun,negative,0.4503,match,0.6082,0,0.4362,0.5719,61.06704062664876
17,773,57,23,1,valence_classification,color_matching,WJJW,noun,negative,schön,adjective,positive,0.4503,nonmatch,0.4852,1,0.4328,0.5685,60.59319535197256
17,774,58,23,1,valence_classification,color_matching,MQQM,noun,positive,glück,noun,positive,0.4503,match,0.5109,0,0.4424,0.5781,61.93360877712792
17,775,59,23,1,valence_classification,color_matching,WJJW,noun,negative,gütig,adjective,positive,0.4533,nonmatch,0.491,0,0.4389,0.5746,61.445885113368185
17,776,60,23,1,valence_classification,color_matching,MQQM,noun,positive,gütig,adjective,positive,0.4503,match,0.3849,1,0.4357,0.5714,61.00272329095513
17,777,61,23,1,valence_classification,color_matching,WJJW,noun,negative,eitel,adjective,negative,0.4503,match,0.7549,0,0.4448,0.5805,62.2764652631136
17,778,62,23,1,valence_classification,color_matching,XVVX,adjective,positive,gütig,adjective,positive,0.4532,nonmatch,0.5243,0,0.4416,0.5773,61.826644084665084
17,779,63,23,1,valence_classification,color_matching,MQQM,noun,positive,schön,adjective,positive,0.4503,nonmatch,0.7005,1,0.4387,0.5744,61.41150397596104
17,780,64,23,1,valence_classification,color_matching,MQQM,noun,positive,leiche,noun,negative,0.4503,match,0.5473,0,0.4474,0.5831,62.63964328980795
17,781,1,24,2,valence_classification,color_matching,WJJW,noun,negative,schlecht,adjective,negative,0.4503,nonmatch,0.6014,0,0.4443,0.58,62.206945681051224
17,782,2,24,2,valence_classification,color_matching,WJJW,noun,negative,lustig,adjective,positive,0.4503,match,0.3395,0,0.4416,0.5773,61.819769841158354
17,783,3,24,2,valence_classification,color_matching,XVVX,adjective,positive,glück,noun,positive,0.4503,nonmatch,0.5042,0,0.439,0.5747,61.45549542266653
17,784,4,24,2,valence_classification,color_matching,MQQM,noun,positive,schlecht,adjective,negative,0.4749,match,0.6391,0,0.4366,0.5723,61.12085955843324
17,785,5,24,2,valence_classification,color_matching,WJJW,noun,negative,liebe,noun,positive,0.4503,nonmatch,0.411,0,0.4343,0.57,60.806246281692104
17,786,6,24,2,valence_classification,color_matching,WJJW,noun,negative,gütig,adjective,positive,0.4503,match,0.5467,0,0.4322,0.5679,60.51264724330748
17,787,7,24,2,valence_classification,color_matching,WJJW,noun,negative,spaß,noun,positive,0.4505,nonmatch,0.5631,1,0.4302,0.566,60.23375153004305
17,788,8,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,entführung,noun,negative,0.4503,nonmatch,1.5651,0,0.4361,0.5718,61.055284846749124
17,789,9,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,gütig,adjective,positive,0.4503,match,0.6384,0,0.4341,0.5698,60.77386147909613
17,790,10,24,2,valence_classification,color_matching,WJJW,noun,negative,entführung,noun,negative,0.4503,nonmatch,0.5338,0,0.4322,0.5679,60.50748438301424
17,791,11,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,gierig,adjective,negative,0.4504,match,0.4322,0,0.4304,0.5661,60.25317952449605
17,792,12,24,2,valence_classification,color_matching,WJJW,noun,negative,launisch,adjective,negative,0.4503,nonmatch,0.4273,1,0.4287,0.5644,60.01754028284809
17,793,13,24,2,valence_classification,color_matching,MQQM,noun,positive,lustig,adjective,positive,0.4503,match,0.6171,0,0.4335,0.5692,60.691591329502835
17,794,14,24,2,valence_classification,color_matching,WJJW,noun,negative,schleim,noun,negative,0.4503,nonmatch,0.4903,0,0.4318,0.5675,60.446478842718776
17,795,15,24,2,valence_classification,color_matching,XVVX,adjective,positive,schleim,noun,negative,0.4503,match,0.4966,0,0.4301,0.5658,60.216399771896
17,796,16,24,2,valence_classification,color_matching,XVVX,adjective,positive,schön,adjective,positive,0.4503,match,0.4396,0,0.4286,0.5643,59.999746419187126
17,797,17,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,einfall,noun,positive,0.4503,nonmatch,0.44,0,0.427,0.5628,59.78610322928295
17,798,18,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,lustig,adjective,positive,0.4503,match,0.2689,0,0.4256,0.5613,59.58822029843238
17,799,19,24,2,valence_classification,color_matching,MQQM,noun,positive,gift,noun,negative,0.4503,match,0.5958,0,0.4243,0.56,59.39765275475098
17,800,20,24,2,valence_classification,color_matching,XVVX,adjective,positive,gift,noun,negative,0.4503,match,0.3113,0,0.4229,0.5586,59.20910280489324
17,801,21,24,2,valence_classification,color_matching,WJJW,noun,negative,glück,noun,positive,0.4536,nonmatch,0.468,0,0.4217,0.5574,59.03180736785325
17,802,22,24,2,valence_classification,color_matching,XVVX,adjective,positive,liebe,noun,positive,0.4503,match,0.396,1,0.4204,0.5562,58.86286461058564
17,803,23,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,liebe,noun,positive,0.4503,nonmatch,0.6044,1,0.4242,0.5599,59.38598069410365
17,804,24,24,2,valence_classification,color_matching,MQQM,noun,positive,gütig,adjective,positive,0.4503,nonmatch,0.5507,0,0.4278,0.5635,59.895900262866824
17,805,25,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,spaß,noun,positive,0.4503,match,0.3062,0,0.4265,0.5622,59.709349744222294
17,806,26,24,2,valence_classification,color_matching,MQQM,noun,positive,entführung,noun,negative,0.4503,nonmatch,0.5324,0,0.4253,0.561,59.53925935840779
17,807,27,24,2,valence_classification,color_matching,WJJW,noun,negative,schön,adjective,positive,0.4503,nonmatch,0.5465,0,0.4241,0.5598,59.37137307483537
17,808,28,24,2,valence_classification,color_matching,WJJW,noun,negative,eitel,adjective,negative,0.4503,nonmatch,0.5252,0,0.4229,0.5586,59.204760798070076
17,809,29,24,2,valence_classification,color_matching,MQQM,noun,positive,schleim,noun,negative,0.4503,match,0.5038,0,0.4218,0.5575,59.0479892502262
17,810,30,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,eitel,adjective,negative,0.4503,nonmatch,0.4966,0,0.4207,0.5564,58.899066406120056
17,811,31,24,2,valence_classification,color_matching,MQQM,noun,positive,leiche,noun,negative,0.4503,nonmatch,0.4221,0,0.4197,0.5554,58.75128172916019
17,812,32,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,schön,adjective,positive,0.4518,nonmatch,0.4895,0,0.4186,0.5543,58.60398387187529
17,813,33,24,2,valence_classification,color_matching,WJJW,noun,negative,gierig,adjective,negative,0.4503,nonmatch,0.499,1,0.4176,0.5533,58.46584922625608
17,814,34,24,2,valence_classification,color_matching,WJJW,noun,negative,ehrlich,adjective,positive,0.4503,match,0.4916,1,0.4206,0.5563,58.88214594047644
17,815,35,24,2,valence_classification,color_matching,XVVX,adjective,positive,lustig,adjective,positive,0.4503,match,0.3792,0,0.4237,0.5594,59.31935787542628
17,816,36,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,ehrlich,adjective,positive,0.4503,nonmatch,0.3337,0,0.4226,0.5583,59.16838554800808
17,817,37,24,2,valence_classification,color_matching,XVVX,adjective,positive,ehrlich,adjective,positive,0.4503,nonmatch,0.4819,0,0.4216,0.5574,59.03006776606475
17,818,38,24,2,valence_classification,color_matching,XVVX,adjective,positive,gütig,adjective,positive,0.4503,nonmatch,0.398,0,0.4207,0.5564,58.895998818354954
17,819,39,24,2,valence_classification,color_matching,XVVX,adjective,positive,entführung,noun,negative,0.4503,nonmatch,0.5792,0,0.4197,0.5554,58.762816591876046
17,820,40,24,2,valence_classification,color_matching,WJJW,noun,negative,gift,noun,negative,0.4503,match,0.5266,0,0.4188,0.5545,58.63008383997218
17,821,41,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,glück,noun,positive,0.4503,nonmatch,0.4751,0,0.4179,0.5536,58.50239106684252
17,822,42,24,2,valence_classification,color_matching,WJJW,noun,negative,leiche,noun,negative,0.4503,nonmatch,0.3485,1,0.417,0.5527,58.38345130689299
17,823,43,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,schlecht,adjective,negative,0.4503,nonmatch,0.5848,0,0.4197,0.5554,58.75321651277858
17,824,44,24,2,valence_classification,color_matching,MQQM,noun,positive,glück,noun,positive,0.4503,match,0.2916,0,0.4188,0.5545,58.62615106227038
17,825,45,24,2,valence_classification,color_matching,MQQM,noun,positive,liebe,noun,positive,0.4503,nonmatch,0.4713,0,0.4179,0.5536,58.50404712278923
17,826,46,24,2,valence_classification,color_matching,XVVX,adjective,positive,einfall,noun,positive,0.4503,match,0.5253,0,0.4171,0.5528,58.39035316447918
17,827,47,24,2,valence_classification,color_matching,MQQM,noun,positive,schön,adjective,positive,0.4503,nonmatch,0.4393,0,0.4163,0.552,58.27776419578358
17,828,48,24,2,valence_classification,color_matching,WJJW,noun,negative,einfall,noun,positive,0.4503,nonmatch,0.4966,1,0.4155,0.5512,58.16545965899125
17,829,49,24,2,valence_classification,color_matching,XVVX,adjective,positive,gierig,adjective,negative,0.4503,nonmatch,0.5466,0,0.4177,0.5534,58.4799316281884
17,830,50,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,launisch,adjective,negative,0.4503,match,0.4499,0,0.4169,0.5527,58.37101256901005
17,831,51,24,2,valence_classification,color_matching,XVVX,adjective,positive,eitel,adjective,negative,0.4503,match,0.6279,0,0.4162,0.5519,58.26299344099443
17,832,52,24,2,valence_classification,color_matching,MQQM,noun,positive,ehrlich,adjective,positive,0.4503,match,0.2901,0,0.4154,0.5511,58.15575435393439
17,833,53,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,gift,noun,negative,0.4503,match,0.5135,0,0.4146,0.5503,58.04776042621855
17,834,54,24,2,valence_classification,color_matching,MQQM,noun,positive,einfall,noun,positive,0.4503,nonmatch,0.3674,0,0.4139,0.5496,57.94230584363696
17,835,55,24,2,valence_classification,color_matching,XVVX,adjective,positive,leiche,noun,negative,0.4503,nonmatch,2.0009,0,0.4132,0.5489,57.845464256184535
17,836,56,24,2,valence_classification,color_matching,MQQM,noun,positive,spaß,noun,positive,0.4503,match,0.4266,0,0.4125,0.5482,57.749639599343624
17,837,57,24,2,valence_classification,color_matching,MQQM,noun,positive,gierig,adjective,negative,0.4503,nonmatch,0.4203,0,0.4118,0.5475,57.65422611250101
17,838,58,24,2,valence_classification,color_matching,XVVX,adjective,positive,spaß,noun,positive,0.4503,nonmatch,0.456,1,0.4111,0.5469,57.559178972829855
17,839,59,24,2,valence_classification,color_matching,MQQM,noun,positive,eitel,adjective,negative,0.4503,nonmatch,0.7207,0,0.4131,0.5488,57.827825201914756
17,840,60,24,2,valence_classification,color_matching,XVVX,adjective,positive,schlecht,adjective,negative,0.4503,nonmatch,0.4927,0,0.4124,0.5481,57.73533143545334
17,841,61,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,leiche,noun,negative,0.4533,nonmatch,0.5118,0,0.4117,0.5475,57.643137623908
17,842,62,24,2,valence_classification,color_matching,MQQM,noun,positive,launisch,adjective,negative,0.4503,match,0.3068,0,0.4111,0.5468,57.55121706282765
17,843,63,24,2,valence_classification,color_matching,XVVX,adjective,positive,launisch,adjective,negative,0.4505,match,0.6174,0,0.4104,0.5461,57.458385504707465
17,844,64,24,2,valence_classification,color_matching,ZYYZ,adjective,negative,schleim,noun,negative,0.4503,nonmatch,0.2258,1,0.4098,0.5455,57.367961326369574
17,845,1,25,3,valence_classification,color_matching,MQQM,noun,positive,leiche,noun,negative,0.4503,nonmatch,0.4423,0,0.4117,0.5474,57.63367774525466
17,846,2,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,glück,noun,positive,0.4503,nonmatch,0.4702,0,0.411,0.5467,57.54455398417843
17,847,3,25,3,valence_classification,color_matching,MQQM,noun,positive,spaß,noun,positive,0.4587,nonmatch,0.468,0,0.4104,0.5461,57.45450411921149
17,848,4,25,3,valence_classification,color_matching,XVVX,adjective,positive,leiche,noun,negative,0.4503,match,0.5042,0,0.4098,0.5455,57.367063013487446
17,849,5,25,3,valence_classification,color_matching,WJJW,noun,negative,gierig,adjective,negative,0.4503,match,0.4933,0,0.4092,0.5449,57.286650479232236
17,850,6,25,3,valence_classification,color_matching,MQQM,noun,positive,glück,noun,positive,0.4503,nonmatch,0.4701,0,0.4086,0.5443,57.20707112673339
17,851,7,25,3,valence_classification,color_matching,MQQM,noun,positive,eitel,adjective,negative,0.4503,match,0.5994,0,0.4081,0.5438,57.12789998015276
17,852,8,25,3,valence_classification,color_matching,MQQM,noun,positive,einfall,noun,positive,0.4532,match,0.5213,0,0.4075,0.5432,57.04872279430844
17,853,9,25,3,valence_classification,color_matching,WJJW,noun,negative,einfall,noun,positive,0.4503,match,0.5526,0,0.4069,0.5426,56.9695750422005
17,854,10,25,3,valence_classification,color_matching,WJJW,noun,negative,ehrlich,adjective,positive,0.4503,match,0.4418,0,0.4064,0.5421,56.889520130857534
17,855,11,25,3,valence_classification,color_matching,MQQM,noun,positive,schleim,noun,negative,0.4503,match,0.2816,0,0.4058,0.5415,56.81028953168826
17,856,12,25,3,valence_classification,color_matching,WJJW,noun,negative,schlecht,adjective,negative,0.4503,nonmatch,0.5445,0,0.4053,0.541,56.73857942865649
17,857,13,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,gierig,adjective,negative,0.4503,match,0.3765,1,0.4048,0.5405,56.66765595331306
17,858,14,25,3,valence_classification,color_matching,MQQM,noun,positive,ehrlich,adjective,positive,0.464,match,0.5425,0,0.4063,0.542,56.88567272605858
17,859,15,25,3,valence_classification,color_matching,WJJW,noun,negative,glück,noun,positive,0.4503,match,0.2718,0,0.4058,0.5415,56.80876742042678
17,860,16,25,3,valence_classification,color_matching,XVVX,adjective,positive,liebe,noun,positive,0.4503,match,0.5293,1,0.4053,0.541,56.73905873406596
17,860,16,25,3,valence_classification,color_matching,XVVX,adjective,positive,liebe,noun,positive,0.4503,nonmatch,0.6885,0,0.4053,0.541,56.73905873406596
17,861,17,25,3,valence_classification,color_matching,XVVX,adjective,positive,glück,noun,positive,0.4503,nonmatch,0.5687,1,0.4048,0.5405,56.67011553602885
17,862,18,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,gift,noun,negative,0.4503,nonmatch,0.3425,1,0.4063,0.542,56.881880173247716
17,863,19,25,3,valence_classification,color_matching,XVVX,adjective,positive,lustig,adjective,positive,0.4503,match,0.6618,1,0.4078,0.5436,57.098252325068756
17,864,20,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,liebe,noun,positive,0.4503,nonmatch,2.4226,0,0.4093,0.545,57.3016054490204
17,865,21,25,3,valence_classification,color_matching,MQQM,noun,positive,gütig,adjective,positive,0.4533,match,0.4589,0,0.4088,0.5445,57.23001978810893
17,866,22,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,leiche,noun,negative,0.4503,match,1.5049,0,0.4083,0.544,57.158895385048105
17,867,23,25,3,valence_classification,color_matching,WJJW,noun,negative,liebe,noun,positive,0.4503,nonmatch,0.4432,0,0.4078,0.5435,57.08789465035293
17,868,24,25,3,valence_classification,color_matching,WJJW,noun,negative,schön,adjective,positive,0.4532,nonmatch,0.4466,1,0.4073,0.543,57.017112692118324
17,869,25,25,3,valence_classification,color_matching,MQQM,noun,positive,schön,adjective,positive,0.4503,nonmatch,0.4694,0,0.4087,0.5444,57.21687116790727
17,870,26,25,3,valence_classification,color_matching,XVVX,adjective,positive,gift,noun,negative,0.4507,match,0.3831,0,0.4082,0.5439,57.14761083635365
17,871,27,25,3,valence_classification,color_matching,WJJW,noun,negative,entführung,noun,negative,0.4504,nonmatch,0.5325,0,0.4077,0.5434,57.07841532286054
17,872,28,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,launisch,adjective,negative,0.4682,match,0.4074,0,0.4072,0.5429,57.00938287328433
17,873,29,25,3,valence_classification,color_matching,XVVX,adjective,positive,ehrlich,adjective,positive,0.4503,nonmatch,0.5629,0,0.4067,0.5424,56.939720584363975
17,874,30,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,schlecht,adjective,negative,0.4503,nonmatch,0.3195,0,0.4062,0.5419,56.86911980674868
17,875,31,25,3,valence_classification,color_matching,WJJW,noun,negative,lustig,adjective,positive,0.4503,nonmatch,1.332,0,0.4057,0.5414,56.80094299066263
17,876,32,25,3,valence_classification,color_matching,XVVX,adjective,positive,launisch,adjective,negative,0.4503,match,0.2929,0,0.4053,0.541,56.73842923513729
17,877,33,25,3,valence_classification,color_matching,WJJW,noun,negative,schleim,noun,negative,0.5185,nonmatch,0.6242,0,0.4048,0.5405,56.676592845635554
17,878,34,25,3,valence_classification,color_matching,WJJW,noun,negative,gütig,adjective,positive,0.4503,nonmatch,0.3895,0,0.4044,0.5401,56.61517143907637
17,879,35,25,3,valence_classification,color_matching,MQQM,noun,positive,entführung,noun,negative,0.4503,match,0.4987,0,0.404,0.5397,56.55390903813862
17,880,36,25,3,valence_classification,color_matching,MQQM,noun,positive,gift,noun,negative,0.4503,nonmatch,0.3778,0,0.4035,0.5392,56.49255390209829
17,881,37,25,3,valence_classification,color_matching,XVVX,adjective,positive,gütig,adjective,positive,0.4503,match,0.6019,0,0.4031,0.5388,56.43121698772601
17,882,38,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,gütig,adjective,positive,0.4503,nonmatch,0.4902,0,0.4026,0.5384,56.36923618939697
17,883,39,25,3,valence_classification,color_matching,MQQM,noun,positive,gierig,adjective,negative,0.4503,match,0.379,1,0.4022,0.5379,56.30636366572904
17,884,40,25,3,valence_classification,color_matching,MQQM,noun,positive,lustig,adjective,positive,0.4503,nonmatch,0.4292,0,0.4035,0.5392,56.485450153400706
17,885,41,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,spaß,noun,positive,0.4504,match,0.3327,0,0.403,0.5388,56.42536723031841
17,886,42,25,3,valence_classification,color_matching,WJJW,noun,negative,spaß,noun,positive,0.4503,nonmatch,0.5038,0,0.4026,0.5383,56.36463088240161
17,887,43,25,3,valence_classification,color_matching,MQQM,noun,positive,liebe,noun,positive,0.4503,match,0.3496,0,0.4022,0.5379,56.303003144087334
17,888,44,25,3,valence_classification,color_matching,WJJW,noun,negative,eitel,adjective,negative,0.4534,nonmatch,0.4622,0,0.4017,0.5374,56.24291339130739
17,889,45,25,3,valence_classification,color_matching,XVVX,adjective,positive,eitel,adjective,negative,0.4503,nonmatch,0.3245,0,0.4013,0.5371,56.18840460015651
17,890,46,25,3,valence_classification,color_matching,WJJW,noun,negative,launisch,adjective,negative,0.4539,match,0.4647,0,0.401,0.5367,56.13450697540116
17,891,47,25,3,valence_classification,color_matching,MQQM,noun,positive,schlecht,adjective,negative,0.4504,nonmatch,0.4323,0,0.4006,0.5363,56.08101805813443
17,892,48,25,3,valence_classification,color_matching,XVVX,adjective,positive,schleim,noun,negative,0.4534,nonmatch,0.5503,0,0.4002,0.5359,56.02774023325885
17,893,49,25,3,valence_classification,color_matching,ZYYZ,adjective,negative,schön,adjective,positive,0.4503,match,0.534,0,0.3998,0.5355,55.97447924938439
